bigram,freq
"('I', 'usually')",2
"('usually', 'wear')",16
"('wear', 'a')",30
"('a', 'medium')",14
"('medium', 'and')",12
"('and', 'bought')",9
"('bought', 'a')",9
"('a', 'small')",37
"('small', 'it')",3
"('it', 'fit')",18
"('fit', 'ok')",1
"('ok', 'but')",3
"('but', 'had')",3
"('had', 'no')",2
"('no', 'shape')",11
"('shape', 'and')",11
"('and', 'wa')",19
"('wa', 'not')",34
"('not', 'flattering')",26
"('flattering', 'i')",5
"('i', 'love')",21
"('love', 'baby')",1
"('baby', 'doll')",1
"('doll', 'dress')",1
"('dress', 'and')",16
"('and', 'top')",2
"('top', 'but')",11
"('but', 'this')",28
"('this', 'wa')",19
"('wa', 'a')",36
"('a', 'tent')",17
"('tent', 'my')",1
"('my', 'daughter')",3
"('daughter', 'saw')",1
"('saw', 'me')",1
"('me', 'try')",1
"('try', 'it')",13
"('it', 'on')",66
"('on', 'and')",17
"('and', 'said')",2
"('said', 'that')",1
"('that', 's')",13
"('s', 'a')",16
"('a', 'piece')",3
"('piece', 'of')",5
"('of', 'tablecloth')",1
"('tablecloth', 'it')",1
"('it', 's')",122
"('s', 'going')",8
"('going', 'back')",36
"('back', 'I')",15
"('I', 'waited')",1
"('waited', 'three')",1
"('three', 'month')",1
"('month', 'for')",1
"('for', 'these')",1
"('these', 'pant')",17
"('pant', 'when')",1
"('when', 'they')",4
"('they', 'finally')",1
"('finally', 'arrived')",1
"('arrived', 'i')",5
"('i', 'wa')",91
"('wa', 'mostly')",1
"('mostly', 'pleased')",1
"('pleased', 'they')",1
"('they', 'seemed')",2
"('seemed', 'like')",2
"('like', 'the')",45
"('the', 'staple')",1
"('staple', 'pant')",1
"('pant', 'everyone')",1
"('everyone', 'is')",1
"('is', 'raving')",1
"('raving', 'about')",1
"('about', 'and')",1
"('and', 'they')",17
"('they', 'should')",4
"('should', 'have')",16
"('have', 'been')",29
"('been', 'problem')",1
"('problem', 'one')",1
"('one', 'they')",1
"('they', 'bag')",1
"('bag', 'out')",1
"('out', 'i')",7
"('i', 'got')",23
"('got', 'one')",2
"('one', 'wear')",3
"('wear', 'out')",3
"('out', 'of')",34
"('of', 'them')",6
"('them', 'before')",1
"('before', 'i')",6
"('i', 'needed')",4
"('needed', 'to')",2
"('to', 'wash')",4
"('wash', 'and')",6
"('and', 'hang')",4
"('hang', 'to')",1
"('to', 'dry')",6
"('dry', 'regained')",1
"('regained', 'shape')",1
"('shape', 'then')",1
"('then', 'problem')",1
"('problem', 'two')",1
"('two', 'the')",1
"('the', 'crotch')",6
"('crotch', 'split')",1
"('split', 'in')",2
"('in', 'the')",213
"('the', 'front')",36
"('front', 'i')",7
"('i', 'm')",78
"('m', 'a')",10
"('a', 'teacher')",1
"('teacher', 'i')",1
"('i', 'sincerely')",1
"('sincerely', 'hope')",1
"('hope', 'no')",1
"('no', 'one')",2
"('one', 'noticed')",1
"('noticed', 'i')",1
"('i', 'read')",5
"('read', 'other')",1
"('other', 'review')",14
"('review', 'about')",2
"('about', 'this')",16
"('this', 'problem')",1
"('problem', 'and')",1
"('and', 'don')",2
"('don', 't')",43
"('t', 'know')",8
"('know', 'if')",4
"('if', 'i')",23
"('got', 'a')",6
"('a', 'bad')",5
"('bad', 'batch')",1
"('batch', 'or')",1
"('or', 'if')",2
"('if', 'a')",2
"('a', 'similar')",1
"('similar', 'fate')",1
"('fate', 'is')",1
"('is', 'awaiting')",1
"('awaiting', 'other')",1
"('other', 'The')",1
"('The', 'top')",3
"('top', 'i')",13
"('i', 'received')",25
"('received', 'wa')",3
"('wa', 'large')",1
"('large', 'really')",1
"('really', 'long')",2
"('long', 'in')",2
"('in', 'length')",5
"('length', 'pocket')",1
"('pocket', 'in')",2
"('front', 'along')",1
"('along', 'the')",3
"('the', 'seam')",12
"('seam', 'and')",2
"('and', 'lot')",3
"('lot', 'of')",9
"('of', 'volume')",1
"('volume', 'in')",1
