word,freq
small,120
fit,40
ok,3
top,119
tent,2
pleased,1
regained,1
bad,39
similar,6
wa,33
large,59
right,21
heavy,15
wash,1
odd,9
loose,21
many,9
flat,18
busty,7
soft,33
elastic,9
twisted,1
expensive,7
adorable,11
frustrating,2
normal,14
least,8
blue,10
gorgeous,13
patterned,1
thin,63
filmy,1
chest,10
tight,28
unfortunate,2
unflattering,26
weird,12
dolman,3
strange,11
structured,1
huge,56
narrow,4
apparent,1
thick,12
black,28
awkward,6
big,50
due,8
limited,1
couldve,1
longer,3
front,4
deep,4
curved,1
cool,4
worn,4
actual,4
open,8
tacked,1
usual,13
ultra,1
unstructured,2
oversized,7
brown,3
jean,6
different,21
true,15
super,25
disappointed,56
sure,21
worth,8
smaller,14
Much,1
wrong,19
beautiful,52
high,38
wide,33
much,57
petite,18
first,49
gray,3
low,19
lovely,4
better,21
delicate,7
second,15
acceptable,2
arrive,1
good,57
fine,8
horrible,10
nice,48
little,32
upper,8
enormous,5
heavier,6
middle,3
horrendous,2
lb,1
extra,26
transparent,2
undergarment,1
swim,2
cute,59
form,1
upset,1
wonderful,3
last,9
full,14
unique,6
quirky,1
puff,1
tailored,1
thigh,4
pajama,1
baggy,4
mid,7
long,16
rigid,1
higher,2
cheap,59
cannot,2
great,60
old,13
thinnest,2
nicer,1
fragile,2
back,12
flour,1
wider,3
frumpy,7
classic,2
inner,4
fabric,15
shut,1
worst,11
short,53
itchy,12
uneven,2
overall,15
excited,15
mauve,1
dusty,2
stiff,10
flowy,3
favorite,7
perfect,20
disppaointed,1
whte,1
white,32
x,5
nipple,1
smear,1
sized,3
uncomfortable,6
funny,4
sheet,1
dress,3
light,12
sad,14
write,2
real,7
tag,1
next,6
hang,1
terrible,23
sooooo,1
skinny,4
shadow,1
awful,23
ugliest,1
brighter,3
garish,1
height,2
shorter,5
warm,3
swingy,3
bright,4
pale,3
bulky,8
previous,13
dimensional,1
poofy,1
close,2
unsee,1
material,3
available,7
interested,1
pronounced,1
pregnant,8
female,2
shapeless,8
entire,8
confident,1
average,2
ginormous,2
ridiculous,6
triangle,2
lean,3
string,1
pant,11
annoyed,1
bountiful,1
puppy,1
several,5
massive,3
unlined,4
positive,6
rail,1
ha,2
u,1
regular,13
neckline,5
bottom,12
total,5
bc,1
tunic,3
best,4
shirt,3
sweatshirt,1
lifeless,1
local,7
see,2
underside,1
outside,2
cold,8
tiny,4
casual,6
fashionable,1
alternative,1
southeast,1
february,1
fuzz,1
wet,2
practical,3
special,3
laughable,1
sloppy,6
gigantic,2
crazy,2
bigger,6
disappointing,12
colorful,1
acrylic,3
original,4
synthetic,3
giant,3
poor,28
crisp,1
red,11
shaped,1
miss,2
armpit,1
soo,1
clown,1
looked,1
whimsical,1
pom,1
juvenile,1
ironic,1
difficult,4
enough,7
soooo,2
eager,1
new,8
metallic,2
surprised,4
comfortable,10
south,1
careful,2
unbelievable,1
damp,1
flimsy,3
online,7
rich,2
outdoor,1
weigh,1
vivid,1
dull,5
able,9
swing,1
floral,2
unnatural,1
tissue,2
hard,6
wrinkled,3
flocked,1
particular,5
square,1
boxy,24
yellow,4
bummed,3
polyamide,1
unimpressed,1
left,1
saggy,1
bed,2
awesome,4
dressy,1
easy,6
run,1
dust,1
unfinished,3
draped,1
unattractive,3
happy,3
faux,2
fitted,5
retailer,2
brilliant,2
nude,2
funky,3
raw,1
doe,2
muddy,2
past,9
stuff,1
poorly,1
accurate,2
pretty,11
horizontal,1
fitting,2
airy,4
lowered,1
strenuous,1
unfixable,1
unbuttoned,1
frontal,2
exaggerated,2
ready,2
featured,1
unhemmed,1
third,2
reviewer,4
pilcro,3
larger,5
bust,2
gentle,2
everyday,1
ratty,2
c,3
whole,10
workable,1
fuller,1
underwire,1
hideous,4
athletic,4
xx,2
inside,2
clingy,1
resulting,1
lush,1
defective,4
curvy,4
maeve,2
j,1
lower,6
ankle,1
golden,1
clear,1
flattering,6
resent,1
misshapen,1
fun,2
waist,3
final,1
teal,2
forgiving,1
noticeable,1
additional,2
niece,1
early,2
wrinkly,2
rumpled,1
dark,4
hysterical,1
possible,2
straight,1
flower,2
interesting,2
wearable,3
retro,1
cropped,1
longest,1
extreme,1
worse,3
sheeny,1
give,2
sleeveless,1
tried,1
stretchable,1
poodle,1
estatic,1
tighter,1
aline,3
upside,1
shee,1
rough,3
comfy,3
cashmere,1
bizarre,6
tacky,1
skirt,2
crinoline,1
unbearable,1
sensitive,2
elbow,1
rediculous,1
smallest,2
blah,1
simple,4
exclusive,1
upcoming,2
oatmeal,1
sleek,1
easier,1
representative,1
drab,2
smudged,1
attractive,5
midi,1
box,1
Horrible,1
tumble,1
dry,10
floppy,1
washed,1
fixable,1
relaxed,2
stripe,2
flow,3
yellowish,1
tie,1
