word,freq
I,4929
sweater,1481
medium,1233
length,1502
hip,455
line,356
show,115
picture,532
detail,759
lot,579
compliment,691
This,2488
quality,1140
ha,384
pattern,512
knit,248
ribbon,35
mid,52
weight,530
winter,363
fall,813
cooler,66
spring,398
day,747
size,5088
like,3000
slub,2
fit,2888
model,554
shot,39
torso,162
shorter,59
5,3110
7,260
hit,77
bum,40
online,536
something,315
would,2044
store,1225
eye,168
decision,27
person,700
year,499
138,22
lb,669
though,553
photo,441
Great,226
bagging,3
sagging,2
reference,301
39,67
2,927
115,136
26p,4
The,384
cut,682
hemline,32
chart,13
cute,495
type,184
flat,10
pair,579
w,62
warm,84
turtleneck,64
watch,3
head,46
room,309
love,1140
skirt,1226
dress,5642
run,131
side,546
derby,2
lace,391
pearl,7
button,497
age,51
appropriate,24
anyone,74
color,4030
peach,54
top,1771
gauze,11
summer,1039
statement,62
necklace,123
pant,940
cream,136
flower,104
wedding,164
wa,1476
pocket,386
cotton,268
people,115
shirt,1426
blouse,546
accurate,6
Soft,27
arrival,10
feminine,88
detailing,48
shape,513
necklne,1
touch,171
style,942
time,809
help,55
man,9
appearance,18
body,535
flare,136
hem,216
fabric,1871
accentuate,2
bulge,18
silhouette,73
retailer,1153
hope,39
friend,87
season,286
drawn,10
number,51
reason,75
upon,41
accessory,46
feel,416
heck,7
10,464
12,205
sash,3
bit,1346
bra,459
stock,67
choice,55
0,263
125,107
everything,358
wait,367
holiday,94
party,117
hesitate,23
fence,46
three,85
sale,777
asscoaites,1
beautiful,116
bodice,79
around,413
waist,967
bust,315
nothing,101
look,1374
christmas,54
tone,77
6,865
140,110
way,785
Love,732
comfy,316
mint,22
boot,464
part,263
doe,214
underneath,364
outfit,141
polka,32
dot,71
jean,1352
review,580
material,1228
texture,148
issue,191
styling,41
jacket,894
x,999
100,74
3,575
117,25
33a,1
snug,95
thicker,77
anything,243
stylish,11
1,293
110,48
xsp,40
could,845
breathe,4
sp,25
Beautiful,130
baby,123
8,674
work,718
cardigan,266
light,128
despite,48
fact,106
return,30
hesitation,8
standup,1
collar,81
lapel,12
need,102
since,436
fastener,3
attitude,6
charcoal,28
grey,272
petite,485
luckily,5
half,54
These,388
libs,1
mother,45
ankle,155
fray,5
site,39
angeles,1
beginning,8
worn,93
hoodie,19
seater,3
downside,24
Nice,32
tee,440
4,1086
sleeve,730
lacing,4
price,627
When,58
edgy,6
leather,86
stretch,321
place,153
crop,52
flattering,258
structure,55
vibrant,13
blend,37
use,92
green,83
plain,31
fun,293
neckline,232
thickness,32
bump,36
lump,13
Don,8
try,97
plan,195
trend,43
design,681
sexy,49
another,412
stage,2
without,681
midriff,6
thinking,30
smell,12
experience,25
reviewer,405
70,33
vibe,56
fine,61
curvy,113
36,81
c,71
cup,78
one,2137
note,45
coverage,95
preference,20
depiction,2
piece,746
associate,22
today,266
kind,211
v,136
neck,347
front,503
cleavage,37
cami,206
fan,100
back,485
thanks,58
versatile,141
A,49
breath,6
air,36
orange,170
purchase,369
perfect,519
tights,188
booty,191
option,97
edge,70
form,34
amount,144
two,364
night,236
worthy,6
splash,2
sexiness,6
peek,10
boo,11
lack,12
padding,5
firm,3
every,426
navy,96
although,185
9,154
knee,387
evening,54
chance,87
might,336
sight,21
124,10
taller,45
glad,120
weather,268
excuse,2
anoth,1
teh,6
definition,17
flutter,23
volume,27
fitter,1
shirter,1
list,18
whether,44
boy,22
order,487
p,81
foot,80
fake,2
ot,3
xl,172
combination,69
proportion,27
stripe,122
come,25
thigh,77
town,31
strap,201
maternity,56
skinny,55
boyfriend,33
print,496
approach,3
drapery,4
movement,57
favorite,45
either,162
brand,231
difference,49
except,56
inch,181
may,402
wear,257
faux,12
empire,14
addition,135
wardrobe,259
Very,109
comfort,92
must,188
hand,105
bill,54
vintage,52
figure,223
thing,459
placement,29
unlike,40
customer,36
wou,2
Saw,39
34,91
dd,45
looser,37
plus,143
machine,78
hubby,6
tt,236
end,83
pink,240
wise,20
l,202
slack,40
onto,12
scarf,81
eyelet,19
sheer,116
peacock,1
brown,51
add,38
interest,56
charm,9
adore,30
slender,47
inside,87
shoulder,586
arm,528
inner,9
cuff,79
xx,145
For,24
opportunity,13
item,197
xxsp,34
32,57
24,29
staple,167
lady,81
complaint,87
wearer,7
stretchy,70
notch,11
legging,214
hour,56
glass,9
nod,2
curve,128
skater,2
bonus,59
Top,5
sister,22
Perfect,45
tunic,140
go,159
gift,57
husband,90
kudos,3
sheerness,7
camisole,35
modesty,5
hd,6
paris,9
iteration,2
delight,8
shopper,14
mean,14
gold,93
frame,177
moment,51
puttin,1
chest,291
damage,3
bottom,484
sweatshirt,75
exchange,15
blue,431
change,37
build,68
b,78
ok,20
softness,31
construction,45
felt,8
36d,45
31,31
plenty,66
14,74
office,112
plastic,3
diamond,6
th,32
home,98
jumpsuit,163
6ft,6
160lb,4
unique,38
105,27
skin,137
yes,65
tank,415
transition,67
blazer,121
regular,59
strapless,44
occasion,118
version,159
area,265
challenge,12
flaw,59
flow,136
placket,11
florals,6
burgundy,29
butterfly,7
goldenrod,3
mauve,25
turquoise,67
li,5
tassel,16
boho,32
flair,47
quirky,5
course,38
embroidery,245
couple,83
floaty,5
deal,69
pound,166
4p,27
drape,266
winner,66
blk,2
sort,66
outdoors,4
round,66
hold,10
intarsia,1
wish,86
busty,38
taupe,56
maxi,77
bandeau,9
purchaser,2
condition,2
hunt,14
bomber,21
edition,3
expectation,33
choker,2
product,72
trick,13
gapping,8
sheen,21
26,206
38,60
boost,1
meeting,11
thank,46
business,33
109lbs,4
00,48
waste,18
leg,298
gap,31
care,58
state,10
bathing,43
suit,190
others,138
shopping,36
well,315
point,85
support,38
lift,7
120,116
16,36
indication,2
glove,106
five,19
kid,27
beach,82
bikini,18
nursing,5
swim,12
worth,226
splurge,16
Cute,45
crochet,23
pop,55
134,9
34b,116
Comfy,4
house,64
tall,97
reservation,5
108lbs,2
motif,98
right,90
package,30
pool,17
concert,8
sandal,147
braid,1
please,57
taper,7
swimsuit,56
teal,45
brighter,26
thick,36
liking,7
heel,274
besides,13
icing,1
cake,3
poolside,1
enter,1
170,13
180,5
19,4
week,141
pregnant,10
185,4
36c,66
38d,2
girl,142
plunge,25
cheek,2
darker,74
stitching,39
spot,94
atleast,1
family,23
event,102
rest,42
