word,freq,Precentage,Total,80534,word,Precentage
love,4133,5.132%,,,love,0.051319939
wear,3575,4.439%,,,wear,0.044391189
wa,2729,3.389%,,,wa,0.033886309
look,2021,2.509%,,,look,0.025094991
bought,1895,2.353%,,,bought,0.023530434
fit,1785,2.216%,,,fit,0.022164552
ordered,1760,2.185%,,,ordered,0.021854124
got,1446,1.796%,,,got,0.017955149
flattering,1267,1.573%,,,flattering,0.015732486
run,1144,1.421%,,,run,0.01420518
make,1132,1.406%,,,make,0.014056175
get,1037,1.288%,,,get,0.012876549
ha,1028,1.276%,,,ha,0.012764795
think,1021,1.268%,,,think,0.012677875
go,1010,1.254%,,,go,0.012541287
tried,966,1.199%,,,tried,0.011994934
purchased,947,1.176%,,,purchased,0.011759009
wearing,901,1.119%,,,wearing,0.011187821
made,845,1.049%,,,made,0.010492463
feel,833,1.034%,,,feel,0.010343457
see,788,0.978%,,,see,0.009784687
saw,632,0.785%,,,saw,0.007847617
worn,627,0.779%,,,worn,0.007785532
went,598,0.743%,,,went,0.007425435
recommend,594,0.738%,,,recommend,0.007375767
looking,578,0.718%,,,looking,0.007177093
want,560,0.695%,,,want,0.006953585
find,543,0.674%,,,find,0.006742494
work,520,0.646%,,,work,0.0064569
wore,515,0.639%,,,wore,0.006394815
say,504,0.626%,,,,
buy,503,0.625%,,,,
loved,499,0.620%,,,,
doe,499,0.620%,,,,
dressed,494,0.613%,,,,
received,483,0.600%,,,,
found,475,0.590%,,,,
try,461,0.572%,,,,
dress,448,0.556%,,,,
going,438,0.544%,,,,
give,433,0.538%,,,,
need,432,0.536%,,,,
hit,416,0.517%,,,,
thought,372,0.462%,,,,
looked,371,0.461%,,,,
legging,358,0.445%,,,,
add,352,0.437%,,,,
keep,345,0.428%,,,,
come,323,0.401%,,,,
wanted,296,0.368%,,,,
decided,277,0.344%,,,,
said,276,0.343%,,,,
fitted,274,0.340%,,,,
put,273,0.339%,,,,
took,260,0.323%,,,,
know,258,0.320%,,,,
take,254,0.315%,,,,
felt,251,0.312%,,,,
sized,251,0.312%,,,,
came,249,0.309%,,,,
amazing,246,0.305%,,,,
show,234,0.291%,,,,
sold,228,0.283%,,,,
wish,228,0.283%,,,,
perfect,218,0.271%,,,,
paired,214,0.266%,,,,
lined,213,0.264%,,,,
fell,212,0.263%,,,,
sizing,209,0.260%,,,,
ended,203,0.252%,,,,
seems,201,0.250%,,,,
needed,197,0.245%,,,,
liked,196,0.243%,,,,
getting,193,0.240%,,,,
trying,178,0.221%,,,,
cut,177,0.220%,,,,
shown,175,0.217%,,,,
buying,162,0.201%,,,,
ordering,159,0.197%,,,,
washed,159,0.197%,,,,
like,154,0.191%,,,,
fall,149,0.185%,,,,
surprised,148,0.184%,,,,
pair,145,0.180%,,,,
expected,143,0.178%,,,,
agree,143,0.178%,,,,
stunning,139,0.173%,,,,
cover,137,0.170%,,,,
arrived,136,0.169%,,,,
pictured,132,0.164%,,,,
hang,132,0.164%,,,,
knew,131,0.163%,,,,
stretch,126,0.156%,,,,
based,124,0.154%,,,,
prefer,124,0.154%,,,,
throw,124,0.154%,,,,
gotten,123,0.153%,,,,
hold,122,0.151%,,,,
depending,120,0.149%,,,,
sleeve,119,0.148%,,,,
hide,119,0.148%,,,,
slimming,119,0.148%,,,,
purchase,118,0.147%,,,,
seem,114,0.142%,,,,
fitting,111,0.138%,,,,
pull,111,0.138%,,,,
waisted,111,0.138%,,,,
worked,111,0.138%,,,,
used,110,0.137%,,,,
Love,107,0.133%,,,,
kept,107,0.133%,,,,
layering,107,0.133%,,,,
mentioned,106,0.132%,,,,
read,105,0.130%,,,,
ran,105,0.130%,,,,
making,104,0.129%,,,,
tight,100,0.124%,,,,
worried,99,0.123%,,,,
top,99,0.123%,,,,
sheer,99,0.123%,,,,
drape,99,0.123%,,,,
live,98,0.122%,,,,
keeping,96,0.119%,,,,
returned,96,0.119%,,,,
thinking,94,0.117%,,,,
return,93,0.115%,,,,
hope,91,0.113%,,,,
swing,91,0.113%,,,,
hoping,88,0.109%,,,,
wash,87,0.108%,,,,
lay,87,0.108%,,,,
gave,87,0.108%,,,,
pant,86,0.107%,,,,
running,86,0.107%,,,,
finding,85,0.106%,,,,
layer,85,0.106%,,,,
gone,85,0.106%,,,,
expect,84,0.104%,,,,
online,84,0.104%,,,,
stay,82,0.102%,,,,
tell,82,0.102%,,,,
seen,81,0.101%,,,,
done,81,0.101%,,,,
reading,81,0.101%,,,,
cropped,80,0.099%,,,,
colored,79,0.098%,,,,
retailer,77,0.096%,,,,
believe,75,0.093%,,,,
picked,74,0.092%,,,,
lining,74,0.092%,,,,
appears,74,0.092%,,,,
caught,73,0.091%,,,,
detailing,73,0.091%,,,,
left,73,0.091%,,,,
use,73,0.091%,,,,
meant,72,0.089%,,,,
showing,70,0.087%,,,,
oversized,68,0.084%,,,,
tucked,68,0.084%,,,,
stand,67,0.083%,,,,
justice,66,0.082%,,,,
cannot,66,0.082%,,,,
noticed,65,0.081%,,,,
considering,64,0.079%,,,,
wait,63,0.078%,,,,
tend,62,0.077%,,,,
rolled,62,0.077%,,,,
washing,61,0.076%,,,,
chose,61,0.076%,,,,
disappointed,60,0.075%,,,,
hug,60,0.075%,,,,
cute,59,0.073%,,,,
become,59,0.073%,,,,
flow,59,0.073%,,,,
purchasing,59,0.073%,,,,
move,58,0.072%,,,,
thrilled,58,0.072%,,,,
expecting,57,0.071%,,,,
owned,57,0.071%,,,,
added,57,0.071%,,,,
comfy,56,0.070%,,,,
help,55,0.068%,,,,
match,55,0.068%,,,,
chested,55,0.068%,,,,
adore,54,0.067%,,,,
pay,54,0.067%,,,,
appreciate,53,0.066%,,,,
seemed,53,0.066%,,,,
cling,53,0.066%,,,,
coming,53,0.066%,,,,
let,53,0.066%,,,,
seeing,52,0.065%,,,,
button,52,0.065%,,,,
excited,52,0.065%,,,,
layered,52,0.065%,,,,
flowing,51,0.063%,,,,
tuck,51,0.063%,,,,
evening,51,0.063%,,,,
dry,51,0.063%,,,,
rose,51,0.063%,,,,
stated,51,0.063%,,,,
exchange,51,0.063%,,,,
disappoint,50,0.062%,,,,
designed,50,0.062%,,,,
pink,49,0.061%,,,,
short,49,0.061%,,,,
forgiving,48,0.060%,,,,
walked,48,0.060%,,,,
shirt,48,0.060%,,,,
pulled,48,0.060%,,,,
hoped,46,0.057%,,,,
mean,46,0.057%,,,,
noted,46,0.057%,,,,
feeling,46,0.057%,,,,
dressing,46,0.057%,,,,
allows,46,0.057%,,,,
suggest,46,0.057%,,,,
supposed,46,0.057%,,,,
wrinkle,46,0.057%,,,,
waiting,46,0.057%,,,,
weight,45,0.056%,,,,
tie,45,0.056%,,,,
petite,45,0.056%,,,,
styled,44,0.055%,,,,
shaped,44,0.055%,,,,
end,44,0.055%,,,,
sell,44,0.055%,,,,
worry,44,0.055%,,,,
carry,44,0.055%,,,,
taking,44,0.055%,,,,
hanging,43,0.053%,,,,
consider,43,0.053%,,,,
styling,43,0.053%,,,,
tailored,43,0.053%,,,,
concerned,42,0.052%,,,,
given,42,0.052%,,,,
hemmed,42,0.052%,,,,
disagree,42,0.052%,,,,
structured,42,0.052%,,,,
flowy,42,0.052%,,,,
walk,42,0.052%,,,,
x,41,0.051%,,,,
leave,41,0.051%,,,,
returning,41,0.051%,,,,
searching,41,0.051%,,,,
paid,41,0.051%,,,,
buttoned,41,0.051%,,,,
snag,41,0.051%,,,,
revealing,40,0.050%,,,,
snug,40,0.050%,,,,
waited,40,0.050%,,,,
giving,40,0.050%,,,,
tied,40,0.050%,,,,
imagine,40,0.050%,,,,
jean,39,0.048%,,,,
adding,39,0.048%,,,,
saying,39,0.048%,,,,
figured,39,0.048%,,,,
busted,38,0.047%,,,,
turned,38,0.047%,,,,
Purchased,38,0.047%,,,,
stretched,38,0.047%,,,,
roll,37,0.046%,,,,
covered,37,0.046%,,,,
bring,37,0.046%,,,,
obsessed,37,0.046%,,,,
lightweight,37,0.046%,,,,
holding,37,0.046%,,,,
asked,37,0.046%,,,,
sit,36,0.045%,,,,
eyeing,36,0.045%,,,,
taken,36,0.045%,,,,
super,36,0.045%,,,,
darling,36,0.045%,,,,
shrink,36,0.045%,,,,
zip,35,0.043%,,,,
red,35,0.043%,,,,
recommended,35,0.043%,,,,
pick,35,0.043%,,,,
choose,35,0.043%,,,,
dinner,35,0.043%,,,,
hem,35,0.043%,,,,
start,34,0.042%,,,,
constructed,34,0.042%,,,,
wedding,34,0.042%,,,,
transition,34,0.042%,,,,
grabbed,34,0.042%,,,,
fun,34,0.042%,,,,
set,34,0.042%,,,,
fabric,34,0.042%,,,,
tt,34,0.042%,,,,
drawn,34,0.042%,,,,
compared,34,0.042%,,,,
itchy,33,0.041%,,,,
hate,33,0.041%,,,,
pairing,33,0.041%,,,,
grab,33,0.041%,,,,
receive,33,0.041%,,,,
stop,33,0.041%,,,,
offered,33,0.041%,,,,
reminds,32,0.040%,,,,
avoid,32,0.040%,,,,
dried,32,0.040%,,,,
open,31,0.038%,,,,
warm,31,0.038%,,,,
fine,31,0.038%,,,,
lose,31,0.038%,,,,
