word,freq
wear,95
bought,47
flattering,41
love,60
wa,339
saw,31
try,25
said,16
going,54
waited,1
arrived,26
seemed,10
raving,1
bag,2
got,36
needed,8
wash,9
hang,9
dry,6
hope,7
noticed,5
read,14
know,19
awaiting,1
received,37
give,11
shape,2
matched,2
returned,47
match,3
pictured,13
felt,37
damp,1
feel,29
coming,3
shown,17
fitted,9
wrapped,2
tacked,1
piece,1
showing,4
put,34
belonged,1
chested,3
took,14
disappointing,6
ordered,118
accommodate,2
agree,7
ran,10
compared,4
widening,1
chose,2
scratchy,2
rough,1
trying,14
seeing,3
make,38
stretch,2
sheer,4
droop,1
tried,73
get,59
fat,1
look,141
made,78
placed,2
contri,1
sooo,2
sizing,9
looked,97
seem,4
run,37
loved,52
dont,2
want,15
wearing,28
couldnt,1
see,53
online,6
think,29
attracted,2
discovered,2
misleading,2
unflattering,13
worn,16
washed,35
cut,20
stated,5
swapping,1
folded,1
sewed,2
found,16
like,13
pulled,11
thought,45
belling,1
wanted,39
fit,47
purchased,24
ok,1
second,3
offset,1
laid,3
fix,4
fell,11
hold,9
sticking,2
crooked,3
returning,31
excited,21
show,14
clung,1
doe,21
expected,14
imagine,10
noted,3
go,29
tailored,2
say,27
tt,1
cute,6
knew,10
return,37
designed,7
work,16
understand,8
meant,2
expecting,8
ha,35
bit,1
started,13
rip,4
contact,1
back,4
wonderful,1
buy,22
count,1
sell,2
reminded,5
hit,12
raised,1
keeping,4
require,2
sending,9
thigh,2
recommend,23
truly,1
keep,18
sewing,2
appears,12
live,2
w,1
taking,4
popped,2
went,23
busty,1
hung,6
appear,6
reject,1
sent,9
wish,6
purchasing,4
label,1
washing,8
lay,16
lining,5
revealed,1
tied,2
turned,9
stretched,8
shed,4
covered,4
distracting,1
come,13
missing,5
looking,36
receiving,2
wrinkled,6
expect,10
seems,7
headed,1
arrive,1
ruined,5
searching,1
opened,9
represented,2
pr,1
sleeve,5
Fits,1
build,1
leave,2
risking,1
scratch,1
wonder,7
gave,6
wrestling,1
choking,2
le,2
retailer,5
carry,1
lifted,1
ut,1
caught,3
developed,4
attached,4
recreate,1
ripping,3
beginning,1
amazing,2
starting,3
fray,1
including,1
wore,29
balled,1
owned,2
cheap,4
considered,3
adding,2
horrified,1
depictes,1
Thought,1
ala,3
sport,1
detailing,1
fooled,3
came,26
listened,3
realized,3
perfect,2
hoped,2
review,5
thinking,3
inspired,1
bell,1
overall,1
pressed,2
sat,1
reading,9
ordering,8
hawaii,1
cannot,7
working,1
sized,18
carrying,2
poking,1
skirt,1
constructed,1
discounted,1
snag,2
unravel,3
string,1
hanging,3
begin,5
tell,4
spent,2
jumped,2
snagged,4
spare,2
itch,3
floored,2
bummed,5
didnt,2
sold,4
warped,1
chest,1
mentioned,5
misplaced,1
fabric,1
stand,7
ruin,1
gaping,3
Comments,1
pull,8
swept,1
hoping,10
stick,6
gone,8
calling,1
called,3
find,16
believe,8
lying,2
stitching,3
bled,2
embroidered,2
stamped,1
printed,1
disappointed,19
yoga,1
traveling,3
develop,1
disintegrated,2
sew,1
continue,1
become,2
Top,1
cant,1
described,2
checking,1
stay,6
making,8
med,3
bust,1
boxy,1
tweaking,1
done,2
buying,5
hip,1
zip,3
help,4
deposited,1
pilling,9
choose,1
wondering,3
remained,3
payed,1
declining,2
based,9
used,15
disintegrate,2
structured,2
happens,2
flatter,3
type,1
bc,1
liked,13
receive,5
piling,2
knitting,1
leaking,1
causing,1
decided,8
ship,1
falling,3
Looked,2
please,1
followed,5
wring,1
shrunk,10
handwashed,1
dried,3
pampered,1
stunning,5
taken,3
regretted,1
saying,2
locate,1
drove,1
purchase,6
depicted,1
opening,1
seen,7
iron,1
undistinguished,1
defeated,1
alpaca,1
threw,1
picked,3
connected,1
move,3
popping,3
mean,6
walk,4
endowed,3
roomy,1
thrilled,3
comfy,2
splurged,2
bagged,1
faded,6
wished,3
heeded,1
kidding,2
cinch,4
dress,3
cover,2
prepared,1
knot,1
broken,1
rethinking,1
assumed,2
fill,2
pant,3
ripped,6
equipped,1
handle,2
driving,1
correct,1
hemmed,1
fitting,8
plain,1
shopping,2
floreat,1
miss,3
take,12
need,11
pinned,5
lightened,1
figure,2
regardless,1
depends,1
getting,4
r,1
blah,1
deceiving,1
frustrated,1
represents,1
rub,1
anticipating,1
drawstring,2
running,3
buttoned,1
Loved,3
display,1
gambled,1
bet,1
oversized,3
wasted,3
shipping,2
cause,1
slant,1
advertised,1
exposed,3
destroyed,1
removed,1
fuller,1
