before lemma words,before freq,after freq
I,254,254
usually,43,43
wear,113,115
a,937,1117
medium,35,35
and,1160,1160
bought,47,47
small,120,120
it,1294,1318
fit,169,190
ok,5,5
but,406,406
had,120,120
no,90,90
shape,41,42
was,583,0
not,390,390
flattering,51,51
i,1387,1387
love,67,67
baby,4,4
doll,2,2
dresses,24,0
tops,12,0
this,634,634
tent,22,22
my,201,201
daughter,2,3
saw,31,31
me,145,145
try,31,31
on,445,445
said,16,16
that,250,250
s,200,200
piece,15,27
of,468,468
tablecloth,2,2
going,54,54
back,147,147
waited,1,1
three,8,8
months,11,0
for,263,263
these,64,64
pants,55,0
when,125,125
they,148,148
finally,5,5
arrived,26,26
mostly,3,3
pleased,1,1
seemed,10,10
like,285,285
the,2270,2270
staple,4,4
pant,2,57
everyone,2,2
is,779,779
raving,1,1
about,52,52
should,28,28
have,240,240
been,49,49
problem,17,17
one,112,112
bag,20,20
out,131,131
got,36,36
them,95,95
before,21,21
needed,8,8
to,622,622
wash,34,36
hang,7,16
dry,16,16
regained,1,1
then,35,35
two,38,38
crotch,8,8
split,4,4
in,545,545
front,43,43
m,106,106
teacher,1,1
sincerely,1,1
hope,7,19
noticed,5,5
read,14,14
other,58,58
reviews,46,0
don,43,43
t,273,273
know,18,19
if,105,105
bad,39,39
batch,2,3
or,96,96
similar,6,6
fate,1,1
awaiting,1,1
The,53,53
top,194,206
received,37,37
large,59,59
really,95,95
long,37,37
length,33,33
pockets,11,0
along,4,4
seam,14,27
lots,3,0
volume,5,5
without,15,15
any,23,23
princess,1,1
seams,13,0
give,18,18
id,1,1
matched,2,2
returned,47,47
Right,1,1
didn,62,62
match,4,4
pictured,14,14
here,9,9
right,51,51
though,27,27
fabric,172,173
heavy,17,17
felt,41,41
damp,3,3
way,87,88
something,35,35
feels,24,0
coming,3,3
very,240,240
odd,12,12
nothing,34,34
what,56,56
shown,17,17
model,57,58
v,7,8
fitted,14,14
nicely,9,9
wrapped,2,2
even,106,106
tacked,2,2
place,7,12
just,142,142
loose,26,26
droopy,2,2
pieces,12,0
so,344,344
most,18,18
bra,12,12
showing,4,4
matter,5,5
how,39,39
many,9,9
times,17,0
put,34,34
where,26,26
belonged,1,1
neither,2,2
flat,18,18
chested,3,3
nor,2,2
busty,12,12
Cute,2,2
soft,33,33
elastic,9,9
wasn,19,19
sewn,12,12
took,14,14
waistband,5,5
twisted,1,1
mess,9,10
disappointing,19,19
more,87,87
expensive,7,7
loungewear,1,1
What,1,1
an,97,97
adorable,11,11
frustrating,2,2
skirt,52,57
person,47,47
32d,1,1
26,2,2
36,2,2
ordered,118,118
normal,14,14
size,135,154
pull,13,15
waist,44,44
opening,4,4
could,71,71
accommodate,2,2
either,16,16
shoulders,27,0
hips,21,0
retailer,96,96
clothes,7,7
2,34,34
4,37,37
agree,8,8
with,174,174
reviewer,20,37
there,97,97
item,12,17
blue,26,26
16,5,5
ran,11,11
at,190,190
least,8,8
sizes,19,0
too,150,150
compared,4,4
14,4,4
blouses,2,0
through,43,43
body,33,33
than,65,65
peplum,11,11
arms,36,0
were,72,72
tight,41,41
waistline,5,5
online,56,56
photos,15,0
widening,1,1
material,108,111
chose,2,2
also,89,89
scratchy,11,11
rough,4,4
especially,13,13
around,34,34
neckline,22,22
mine,5,5
after,46,46
trying,14,14
seeing,3,3
make,28,41
work,33,37
color,88,131
gorgeous,13,13
patterned,1,1
lace,13,14
w,2,2
fan,2,3
maeve,5,5
dress,302,326
thin,70,70
filmy,1,1
stretches,1,0
sheer,14,14
over,45,45
your,36,36
chest,30,30
turtleneck,1,1
droops,1,0
unfortunate,3,3
This,108,108
literally,9,9
unflattering,42,42
thing,22,31
ever,21,21
tried,74,74
from,63,63
sleeves,29,0
are,159,159
weird,12,12
ugly,5,5
get,59,61
fat,2,2
dolman,3,3
sleeve,13,42
looks,127,0
strange,11,11
because,75,75
flow,9,11
into,18,18
rest,4,4
which,67,67
structured,3,3
made,78,78
look,112,239
huge,56,56
narrow,6,6
apparent,1,1
picture,54,73
all,144,144
thick,15,15
black,28,28
placed,2,2
awkward,11,11
spot,9,13
contri,1,1
runs,32,0
sooo,4,4
big,50,50
normally,23,23
145lb,1,1
5,84,84
36dd,1,1
due,8,8
limited,1,1
sizing,13,13
looked,98,98
style,30,32
seem,4,4
run,10,42
couldve,1,1
people,5,5
easily,5,5
together,5,5
loved,52,52
pattern,17,18
slip,14,14
underneath,9,9
actually,6,6
well,43,43
dont,2,2
want,15,15
im,5,5
wearing,28,29
lol,1,1
slightly,10,10
longer,12,12
couldnt,2,2
see,58,58
pictures,19,0
Even,2,2
deep,4,4
discount,7,7
definitely,19,19
worth,22,22
money,24,24
think,31,31
jacket,21,22
curved,1,1
velvet,3,3
hem,11,12
as,180,0
part,17,22
its,24,0
design,50,52
would,155,155
be,176,178
cool,4,4
largely,1,1
attracted,2,2
discovered,2,2
shirt,115,121
worn,25,25
beneath,1,1
photo,36,51
image,5,5
rather,11,11
misleading,3,3
actual,4,4
open,8,9
loosely,2,2
inside,7,7
usual,13,13
ultra,1,1
however,52,52
unstructured,2,2
oversized,10,10
might,20,20
brown,5,5
paper,5,5
jeans,18,0
different,21,21
pair,25,31
did,59,59
stone,2,3
washed,36,36
completely,31,31
cut,55,58
rise,7,7
stated,5,5
10,19,19
inches,12,0
true,15,15
25,4,4
27,1,1
legs,8,0
